RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,S1_1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,L1_8,L1_9,L1_10,L1_11,L1_12,L1_13,L1_14,L1_15,L1_16,L1_17,L1_18,L1_19,L1_20,SC1_1,SC1_2,SC1_3,SC1_4,SC1_5,SC1_6,SC1_7,SC1_8,SC1_9,SC1_10,SC1_11,SC1_12,SC1_13,SC1_14,SC1_15,SC1_16,SC1_17,SC1_18,SC1_19,SC1_20,S2_1,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6,L2_7,L2_8,L2_9,L2_10,L2_11,L2_12,L2_13,L2_14,L2_15,L2_16,L2_17,L2_18,L2_19,L2_20,SC2_1,SC2_2,SC2_3,SC2_4,SC2_5,SC2_6,SC2_7,SC2_8,SC2_9,SC2_10,SC2_11,SC2_12,SC2_13,SC2_14,SC2_15,SC2_16,SC2_17,SC2_18,SC2_19,SC2_20
229,Control,19,2,2,2,5,4,1,1,1,4,4,1,2,4,4,2,NA,1,1,4,4,2,2,4,4,5,5,2,5,6,2,1,5,2,5,2,5,2,5,3,5,2,2,5,2,4,4,1,1,1,4,4,1,3,4,4,1,1,1,1,4,4,2,2,4,4,5,5,2,5,6,2,2,5,2,5,2,5,2,5,2,5,2,2,5,2
230,Direct,19,2,2,1,3,4,2,1,1,4,4,1,1,3,4,2,1,1,1,4,4,3,1,4,4,4,4,2,4,5,1,1,4,1,5,1,5,1,5,2,4,1,1,6,1,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,4,4,1,4,6,1,1,4,1,6,1,5,4,4,2,4,1,1,6,2
231,Indirect,19,1,2,1,3,3,1,1,2,3,3,1,2,3,3,3,2,1,2,3,3,4,1,3,3,3,4,2,4,4,3,2,5,2,5,4,5,3,4,1,5,3,3,4,1,2,3,1,1,2,4,4,1,1,4,3,2,2,1,1,3,3,3,1,3,3,5,4,2,4,5,2,2,5,2,5,2,5,2,5,1,5,2,2,5,2
232,Control,29,4,1,1,3,4,3,2,3,2,4,2,3,4,3,3,1,4,3,3,2,3,3,3,2,5,6,2,6,5,2,3,5,2,3,4,5,4,6,1,6,2,4,5,1,1,4,3,2,3,2,4,1,3,4,4,3,2,4,2,3,3,2,NA,3,2,5,6,2,5,5,2,2,5,2,4,2,4,2,6,NA,6,1,3,5,1
233,Direct,21,4,2,1,4,4,2,2,2,4,4,2,3,4,4,2,2,2,2,4,4,1,3,4,4,5,5,2,5,5,2,2,5,2,5,2,6,2,6,2,6,1,2,6,1,2,4,1,1,2,4,4,1,3,4,4,1,1,2,2,4,4,1,2,4,4,5,5,1,5,6,2,1,5,1,5,1,5,2,5,1,6,1,1,6,1
234,Indirect,19,2,2,1,3,4,3,2,2,4,3,2,2,3,3,2,2,2,2,3,3,3,2,3,4,2,4,2,3,5,3,2,4,3,5,3,4,3,2,3,5,2,3,5,2,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,5,4,5,3,5,3,5,3,5,2,2,5,3
235,Control,18,1,2,2,3,4,2,1,2,4,3,1,1,3,3,2,2,3,2,4,4,3,1,4,4,4,5,1,5,6,1,1,6,1,5,2,6,1,4,2,5,2,1,6,1,3,4,2,1,2,4,3,1,2,3,3,1,2,1,2,4,4,3,2,4,4,6,5,1,4,5,1,2,6,1,5,2,6,2,4,1,6,1,2,6,2
236,Direct,19,1,2,1,5,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,4,1,5,5,6,5,3,4,4,4,4,5,6,2,4,5,6,4,2,3,6,6,2,3,2,2,3,4,4,3,3,2,3,1,3,2,2,3,2,1,3,3,3,4,4,4,3,4,3,4,5,1,3,2,2,3,4,2,3,3,4,5,1
237,Indirect,19,2,2,1,3,4,3,2,2,4,4,1,2,4,4,2,2,3,2,4,4,2,3,4,4,5,5,2,5,6,2,2,5,2,5,2,6,2,6,2,6,1,1,6,1,3,3,3,2,2,4,4,2,2,4,4,2,1,2,2,4,3,2,2,4,4,5,5,1,5,5,2,1,5,1,5,2,6,1,5,1,6,1,1,6,1
238,Control,20,2,2,1,1,2,4,4,4,4,2,4,3,2,2,2,2,4,4,2,1,3,4,1,1,2,3,2,4,1,5,5,4,3,2,6,4,3,1,5,4,5,5,4,4,1,2,4,4,4,4,3,4,2,2,2,3,3,3,2,2,2,3,3,2,2,3,3,2,3,2,4,3,4,3,2,5,3,3,1,5,3,5,5,3,4
239,Direct,19,2,1,1,3,3,4,4,4,3,1,2,3,4,3,1,1,4,1,3,2,1,3,3,3,5,6,2,5,3,3,4,4,4,3,4,3,3,5,4,5,2,4,5,3,3,3,4,3,3,3,2,3,3,4,2,1,2,4,1,2,2,1,3,2,2,5,5,3,5,2,2,5,4,5,1,5,2,5,5,5,5,4,6,4,3
240,Indirect,19,2,2,1,2,4,2,2,2,4,4,1,3,4,4,2,2,3,2,3,4,3,2,4,4,4,4,1,4,5,2,1,4,2,5,2,5,2,3,2,5,2,2,5,2,2,4,2,2,2,4,3,2,3,3,4,2,2,2,2,4,4,3,2,4,4,5,4,6,5,5,2,2,5,2,5,2,5,2,4,3,5,2,2,6,2
241,Control,18,1,2,1,4,3,3,2,3,3,3,4,2,3,3,3,3,2,3,2,3,3,2,4,4,2,4,3,3,3,2,1,4,3,4,3,4,2,3,3,5,4,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,4,2,4,3,3,3,4,3,2,3,3
242,Direct,19,1,2,1,5,3,4,3,4,4,4,3,2,3,4,3,2,3,4,2,4,4,3,3,3,3,5,1,4,4,5,6,4,5,5,5,4,5,5,6,5,4,4,6,4,3,3,3,2,3,4,3,3,2,3,3,3,2,2,2,3,4,3,2,3,3,4,3,2,5,4,4,4,5,4,6,4,5,5,5,5,6,4,3,6,4
243,Indirect,27,2,1,1,4,3,2,2,2,3,3,2,3,3,4,3,2,2,2,3,3,4,3,4,4,3,3,2,2,4,5,3,3,3,5,4,4,3,4,5,4,3,3,5,3,3,3,2,2,2,4,3,2,3,3,4,3,2,2,3,3,3,4,3,4,4,3,3,2,2,4,4,3,4,3,5,3,3,3,5,5,5,4,3,6,2
244,Control,21,3,1,1,3,4,2,2,2,4,4,1,3,4,4,2,1,2,2,4,4,2,3,4,4,5,4,1,5,6,3,2,5,2,5,3,4,3,4,2,6,2,1,5,3,1,4,2,1,2,4,3,2,3,4,4,2,2,1,2,4,4,2,1,4,4,5,5,1,5,6,1,2,6,2,5,2,5,2,6,3,6,2,2,5,2
245,Direct,21,3,2,1,3,4,1,1,2,4,3,2,3,4,4,2,3,1,2,4,3,1,3,4,4,4,4,2,5,5,2,2,3,2,4,2,5,2,6,2,4,1,3,4,1,3,4,1,1,2,4,3,1,2,4,4,2,2,1,2,4,4,1,2,3,4,5,4,2,6,6,2,2,5,1,5,1,5,2,6,2,5,1,2,4,1
246,Indirect,20,2,1,1,4,3,2,1,2,4,3,1,2,4,4,4,1,2,1,4,3,3,2,3,3,1,3,2,4,5,2,4,3,4,4,3,5,2,5,2,5,2,2,5,2,3,2,1,1,2,4,3,2,2,3,4,1,1,2,1,4,3,4,2,3,4,3,3,2,4,5,2,2,5,2,5,3,5,2,6,2,5,1,3,5,2
247,Control,23,3,2,1,4,3,2,1,1,4,3,3,2,4,4,2,2,2,1,4,3,2,1,4,4,6,5,1,5,5,1,1,6,1,5,1,6,1,5,1,6,1,1,6,1,2,4,1,1,1,4,3,1,2,4,4,1,4,1,1,4,4,2,1,4,4,5,5,1,5,6,1,1,6,2,5,1,6,1,6,1,6,1,1,6,1
248,Direct,20,2,1,1,2,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,5,5,1,6,6,1,1,5,1,6,1,5,1,6,1,6,1,1,6,1,1,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,2,1,4,4,5,6,1,6,6,1,1,6,1,6,1,5,6,6,1,6,1,1,6,1
249,Indirect,21,3,1,1,3,4,2,1,2,4,3,1,1,3,4,1,1,1,2,4,4,3,2,4,4,5,4,2,5,5,2,1,4,1,6,2,6,1,5,2,5,1,1,5,2,2,4,1,1,1,4,4,1,1,4,4,1,1,2,2,4,4,2,1,4,4,6,5,1,6,6,1,1,6,1,6,1,6,1,5,1,6,1,1,5,1
250,Direct,18,1,2,1,4,4,2,2,3,3,3,2,2,3,3,2,2,2,1,3,3,3,3,4,3,4,4,2,4,4,3,2,5,2,4,3,5,3,4,2,4,3,3,4,2,2,4,2,1,2,3,4,1,2,3,3,2,2,2,1,4,3,3,2,4,3,5,4,2,4,5,3,2,4,2,4,2,5,2,5,2,5,2,3,4,2
251,Indirect,19,1,1,1,5,3,2,1,1,4,3,1,2,4,3,3,1,1,1,4,4,1,1,4,4,4,4,1,4,6,2,1,5,1,6,3,5,5,6,2,6,1,2,5,1,3,4,2,1,1,4,3,1,3,4,4,2,1,1,1,4,3,2,1,4,4,5,4,1,3,6,3,2,5,2,4,2,5,2,6,2,6,1,1,5,1
252,Control,19,1,1,1,5,3,2,3,2,4,4,2,2,4,4,3,3,3,3,2,3,3,3,2,3,5,4,3,4,5,4,3,4,4,4,4,5,5,4,5,6,5,4,5,2,5,3,3,3,3,3,4,2,2,4,4,2,2,3,2,2,3,2,3,3,3,5,4,3,5,4,4,3,4,4,4,4,4,3,5,5,6,4,4,5,3
253,Direct,19,1,2,1,3,4,1,1,2,4,3,2,2,3,4,2,2,2,1,3,3,3,2,3,3,2,4,5,5,6,3,2,4,2,5,2,5,2,3,2,5,1,3,6,2,3,4,2,1,2,4,3,2,3,4,4,1,1,1,1,3,4,3,2,4,4,3,4,4,5,5,3,2,4,1,5,2,5,5,3,2,6,1,3,5,3
254,Indirect,18,1,2,1,3,3,1,1,2,4,4,1,1,4,4,2,1,1,2,2,4,4,3,3,4,4,5,2,4,4,3,1,5,3,5,3,5,3,4,3,5,4,3,5,1,3,3,1,1,2,4,3,1,1,4,3,2,1,1,1,3,4,4,2,4,4,4,4,1,4,4,2,1,5,3,5,2,5,3,4,2,5,4,3,5,3
255,Control,19,2,2,1,4,3,4,3,4,3,2,3,2,3,2,4,3,2,4,3,2,4,3,3,2,2,4,3,4,3,4,5,3,4,2,4,4,4,5,4,4,5,4,2,3,4,2,3,3,4,3,2,3,2,3,2,4,3,4,3,3,2,4,3,2,2,2,2,5,3,3,4,5,3,4,2,4,4,4,4,4,3,5,4,2,4
256,Direct,19,1,2,1,1,3,3,2,3,3,3,2,3,2,3,3,3,4,4,3,2,2,4,3,3,5,4,2,5,3,4,4,4,4,4,4,4,3,3,5,5,4,3,6,2,1,3,2,2,2,3,3,1,2,2,4,2,1,3,3,3,2,2,3,3,4,5,4,2,5,5,4,3,5,4,4,4,4,3,5,4,5,4,3,6,3
257,Indirect,20,2,1,1,4,4,3,1,1,4,3,2,2,3,4,1,1,1,1,4,4,3,2,4,4,4,5,1,3,6,1,2,4,1,5,1,5,2,6,2,5,2,1,6,1,2,4,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,3,2,4,4,5,6,1,5,6,1,1,6,1,5,1,6,1,6,2,5,1,2,6,1
258,Control,20,1,2,1,2,4,2,1,1,4,4,1,1,3,4,1,1,2,1,4,4,3,1,4,4,4,5,1,5,6,2,2,6,1,6,2,5,2,6,1,6,2,2,6,1,1,4,1,2,2,4,4,2,1,4,4,2,1,2,1,4,3,3,1,4,4,5,5,1,6,6,2,1,5,1,5,2,5,2,6,2,6,1,1,6,1
259,Direct,20,3,2,1,4,3,1,1,2,4,4,2,2,4,3,1,2,2,3,4,3,2,2,4,4,3,4,2,5,5,3,3,NA,1,4,2,6,2,5,2,5,1,2,5,1,3,4,1,1,2,4,3,2,1,4,4,1,1,2,1,4,3,1,2,4,4,3,4,2,5,5,2,2,6,1,5,2,6,1,6,2,5,1,2,5,1
260,Indirect,19,2,1,1,3,3,2,2,2,3,3,3,3,2,4,2,3,3,2,3,3,3,2,3,3,4,4,2,3,4,3,3,5,2,4,3,4,4,5,2,4,2,3,4,3,2,3,2,2,2,4,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,4,5,2,3,4,2,2,4,2,3,2,4,4,5,2,4,2,2,4,2
261,Control,36,3,2,1,4,3,1,1,1,4,3,1,2,4,4,1,1,1,1,4,3,3,2,4,4,5,5,1,6,6,1,1,5,2,5,1,5,2,5,1,6,1,1,5,1,2,3,1,1,1,4,4,1,1,4,4,1,1,1,1,4,4,3,2,4,4,5,5,1,5,6,1,1,5,1,5,1,4,4,5,1,5,2,1,6,1
262,Direct,22,3,2,1,3,4,3,3,3,4,4,1,2,4,4,2,1,1,2,3,4,3,2,4,4,5,5,1,4,5,2,1,4,1,6,2,5,1,6,1,5,2,1,6,1,1,NA,2,1,2,4,4,1,1,4,4,2,2,1,1,3,3,3,1,4,4,4,6,1,5,6,1,1,4,1,6,1,5,1,5,1,6,2,1,6,1
263,Indirect,19,1,2,1,4,4,3,2,2,4,4,2,2,3,4,2,2,2,2,4,3,3,2,4,4,5,5,1,4,4,2,1,5,2,4,2,5,5,3,2,4,1,2,6,1,4,3,2,2,3,4,4,2,2,3,4,2,2,2,2,3,4,3,2,3,4,5,5,1,4,4,2,1,5,2,5,2,4,1,3,4,5,1,2,6,2
264,Control,19,1,2,1,4,4,2,1,3,4,4,1,2,4,4,2,1,2,2,4,4,3,2,4,4,4,3,1,3,5,2,1,5,1,6,2,5,1,4,1,5,2,2,6,1,4,4,1,1,2,4,4,1,1,4,4,1,1,2,2,4,4,3,2,4,4,5,5,1,4,6,2,1,5,1,5,2,5,1,4,1,5,1,1,6,1
265,Direct,18,1,1,1,2,3,4,2,3,3,2,2,4,3,3,4,2,3,3,2,2,2,3,4,4,5,4,3,4,4,2,4,4,3,3,2,2,2,4,1,5,3,5,5,1,1,3,3,1,2,3,3,2,2,3,2,2,1,3,3,2,2,3,2,4,4,5,5,2,5,3,1,1,5,1,3,2,2,1,6,2,6,1,4,5,2
266,Indirect,18,1,1,1,2,3,2,2,2,3,4,3,2,3,4,3,2,3,2,3,2,4,3,3,3,1,3,2,1,5,3,2,4,2,3,2,4,3,4,4,4,2,2,6,4,1,3,2,2,2,3,3,3,3,3,4,3,2,3,2,3,3,3,3,3,4,1,3,2,1,4,2,2,3,2,4,NA,4,3,4,3,4,3,2,5,4
267,Control,19,2,2,1,5,3,3,2,2,4,3,2,3,3,3,2,3,2,2,4,3,3,2,4,4,4,4,1,4,4,3,3,5,2,5,3,4,3,4,3,5,1,1,5,1,3,4,2,1,2,4,4,2,2,3,4,2,2,2,2,4,2,2,2,4,4,4,5,2,5,5,1,2,5,1,4,3,5,5,6,2,5,1,2,4,1
268,Direct,20,2,2,1,3,2,4,4,4,2,2,3,4,2,2,4,4,4,4,2,2,4,4,2,2,2,4,6,3,2,4,6,2,5,4,5,2,5,2,4,2,4,4,1,4,2,3,4,4,4,3,3,3,4,2,3,3,3,2,4,3,3,3,3,2,3,2,4,4,3,2,4,3,2,4,4,4,2,4,2,4,3,4,4,2,2
269,Indirect,21,4,2,1,4,3,3,1,2,3,2,2,3,3,2,3,2,3,3,3,2,4,3,4,4,5,4,2,3,4,5,3,5,4,6,4,2,5,2,3,5,3,2,5,2,2,2,3,1,2,3,2,2,3,3,3,3,2,2,3,3,3,3,4,3,3,5,4,2,4,3,4,2,5,2,5,4,3,5,2,2,5,3,5,6,4
270,Control,24,5,2,1,2,3,2,2,2,4,4,2,2,4,4,2,1,2,2,3,3,3,2,4,4,4,4,1,2,5,2,2,5,2,5,2,5,2,4,2,4,3,2,5,2,3,4,2,2,2,4,4,2,2,3,3,2,2,2,2,3,3,3,2,4,4,3,4,2,4,5,2,2,5,2,4,2,5,2,4,2,4,3,2,5,2
271,Direct,23,4,1,1,2,3,3,3,4,4,2,3,4,3,2,3,3,4,3,4,2,3,4,3,3,5,5,3,3,3,3,5,5,5,3,4,4,3,5,5,4,6,3,5,3,1,3,3,3,3,4,2,3,4,3,3,2,3,4,3,4,2,3,3,4,4,4,5,3,3,4,4,5,5,4,3,4,4,5,5,4,4,5,3,4,3
272,Indirect,18,1,2,1,3,4,3,3,3,4,3,2,3,3,3,4,2,3,2,3,3,3,2,3,3,2,3,2,4,5,4,3,4,5,4,5,5,4,6,4,5,3,3,5,2,1,3,2,2,3,4,3,2,3,4,3,3,2,3,3,3,3,3,2,3,3,3,4,2,4,5,3,3,4,4,5,3,4,3,5,4,5,3,4,5,2
273,Control,19,2,2,1,2,3,3,1,1,4,4,1,1,3,4,2,2,2,1,3,4,3,2,4,4,4,4,1,4,6,2,2,5,2,5,2,6,2,5,2,5,2,2,6,1,1,3,2,1,1,4,4,2,2,3,4,2,2,1,1,3,4,3,2,4,4,4,5,1,5,6,2,2,5,2,5,2,5,2,5,2,5,2,2,5,2
274,Direct,18,1,1,1,3,4,2,3,3,4,3,2,2,3,4,2,2,3,2,3,3,3,3,3,3,3,4,2,3,5,3,3,4,3,5,3,4,3,4,3,5,2,3,5,2,1,4,2,2,3,4,4,2,2,4,4,2,2,2,2,3,4,3,2,4,4,4,4,2,4,5,2,2,4,2,5,2,5,2,4,2,5,2,2,5,1
275,Indirect,20,2,1,1,4,4,3,1,1,4,4,2,3,3,3,2,3,2,1,4,3,4,3,3,3,4,5,1,5,5,2,2,3,1,5,2,5,3,5,2,5,1,2,6,2,3,3,2,2,2,4,4,1,3,3,4,2,3,2,2,4,4,3,2,4,4,4,5,1,5,5,2,2,4,1,5,2,5,2,5,2,5,1,2,6,1
276,Control,18,1,2,1,1,4,2,2,3,4,4,3,2,4,3,3,3,2,3,3,3,3,3,4,4,4,5,2,4,6,2,3,4,3,4,4,5,1,5,2,5,1,1,6,2,1,4,2,1,3,4,3,3,2,4,4,2,2,2,2,4,3,3,3,4,4,4,5,1,4,5,2,1,5,2,5,2,5,1,5,1,5,1,1,6,1
277,Direct,19,2,2,1,4,3,3,3,2,4,4,2,2,3,3,3,1,3,3,1,3,3,3,4,2,4,4,3,3,5,3,2,5,2,6,2,5,5,4,2,5,4,3,6,2,3,3,2,2,3,4,3,2,2,3,3,2,1,3,2,2,3,2,2,3,3,4,4,3,4,4,2,3,5,3,5,3,5,5,5,2,5,3,2,5,3
278,Indirect,19,2,2,1,3,3,2,1,2,3,3,3,2,4,3,4,4,4,2,2,3,4,3,3,4,2,4,3,4,4,2,2,1,3,5,3,4,2,4,2,5,1,3,4,4,3,3,2,2,1,3,3,2,3,4,3,3,3,3,2,3,3,3,3,3,3,2,4,2,2,4,1,4,2,2,5,4,3,4,5,2,3,1,4,1,5
279,Control,21,4,1,1,3,3,1,1,1,4,4,1,3,4,4,2,1,2,1,4,3,2,2,3,4,4,5,2,5,5,1,2,4,1,5,1,5,3,6,1,5,1,1,5,1,3,3,2,2,2,3,3,1,2,4,3,1,1,2,2,3,3,1,2,3,3,5,4,2,5,4,1,1,4,1,4,2,4,2,5,1,6,1,2,4,2
280,Direct,22,2,2,1,3,4,3,1,2,4,3,2,2,4,3,2,2,3,2,3,3,3,3,4,4,3,4,1,4,5,3,2,3,3,4,4,5,2,4,2,5,3,2,6,1,2,3,2,1,2,4,3,1,2,3,4,2,2,2,2,3,4,3,2,4,4,4,4,1,4,4,3,3,5,2,5,2,5,3,5,1,5,1,2,6,2
281,Indirect,21,3,1,1,2,4,2,1,2,4,4,1,2,3,4,2,2,1,2,3,4,2,2,4,4,5,4,1,5,5,2,1,6,1,5,1,6,1,6,4,5,1,1,6,1,2,4,2,1,1,4,4,1,1,3,4,2,4,1,1,3,4,2,1,4,4,5,4,1,5,6,3,1,6,2,6,2,5,1,6,5,6,1,1,6,1
282,Control,20,3,1,1,2,4,3,2,1,4,4,3,2,3,4,1,1,1,1,4,4,2,2,4,4,5,4,1,5,5,1,1,5,1,5,1,6,1,4,1,6,1,3,6,1,3,4,1,1,1,4,4,1,2,4,4,1,2,1,1,4,4,1,2,4,4,5,5,1,5,5,1,1,5,1,5,1,5,1,5,1,5,1,1,6,1
283,Direct,19,1,2,1,4,2,4,3,4,4,3,2,3,3,3,3,3,2,4,2,4,3,3,4,4,2,5,1,6,3,2,2,4,2,5,3,5,2,4,2,5,3,3,5,1,2,3,2,2,3,4,3,2,2,4,3,2,2,2,2,3,3,2,3,3,3,3,5,2,5,4,3,3,4,3,5,2,5,2,4,2,4,3,3,5,2
300,Indirect,19,2,2,2,2,3,2,2,2,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,3,4,5,3,5,5,3,3,5,3,5,3,5,4,5,2,5,3,3,5,3,3,3,2,2,1,4,3,2,2,4,3,2,2,3,2,3,4,3,2,3,3,4,5,3,5,4,3,3,5,2,5,2,5,2,5,2,5,2,2,4,2
